PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B
CHEBI:16908	chemical-affects	DLAT
CHEBI:16908	chemical-affects	DLD
CHEBI:16908	chemical-affects	EHHADH
CHEBI:16908	chemical-affects	GAPDHS
CHEBI:16908	chemical-affects	GAPDH
CHEBI:16908	chemical-affects	GLUD1
CHEBI:16908	chemical-affects	GLUD2
CHEBI:16908	chemical-affects	GPD1
CHEBI:16908	chemical-affects	GSR
CHEBI:16908	chemical-affects	H6PD
CHEBI:16908	chemical-affects	HADHA
CHEBI:16908	chemical-affects	HADH
CHEBI:16908	chemical-affects	HIBADH
CHEBI:16908	chemical-affects	HMGCR
CHEBI:16908	chemical-affects	HMOX1
CHEBI:16908	chemical-affects	HMOX2
CHEBI:16908	chemical-affects	HPGD
CHEBI:16908	chemical-affects	HSD11B1
CHEBI:16908	chemical-affects	HSD11B2
CHEBI:16908	chemical-affects	HSD17B10
CHEBI:16908	chemical-affects	HSD17B1
CHEBI:16908	chemical-affects	HSD17B2
CHEBI:16908	chemical-affects	HSD17B3
CHEBI:16908	chemical-affects	HSD17B4
CHEBI:16908	chemical-affects	HSD17B7
CHEBI:16908	chemical-affects	HSD17B8
CHEBI:16908	chemical-affects	HSD3B1
CHEBI:16908	chemical-affects	HSD3B2
CHEBI:16908	chemical-affects	IDH3A
CHEBI:16908	chemical-affects	IDH3B
CHEBI:16908	chemical-affects	IDH3G
CHEBI:16908	chemical-affects	IMPDH1
CHEBI:16908	chemical-affects	IMPDH2
CHEBI:16908	chemical-affects	LDHAL6A
CHEBI:16908	chemical-affects	LDHAL6B
CHEBI:16908	chemical-affects	LDHA
CHEBI:16908	chemical-affects	LDHB
CHEBI:16908	chemical-affects	LDHC
CHEBI:16908	chemical-affects	MDH1
CHEBI:16908	chemical-affects	MDH2
CHEBI:16908	chemical-affects	ME1
CHEBI:16908	chemical-affects	ME2
CHEBI:16908	chemical-affects	ME3
CHEBI:16908	chemical-affects	MSMO1
CHEBI:16908	chemical-affects	MT-ND1
CHEBI:16908	chemical-affects	MT-ND2
CHEBI:16908	chemical-affects	MT-ND3
CHEBI:16908	chemical-affects	MT-ND4L
CHEBI:16908	chemical-affects	MT-ND4
CHEBI:16908	chemical-affects	MT-ND5
CHEBI:16908	chemical-affects	MT-ND6
CHEBI:16908	chemical-affects	MTHFD1
CHEBI:16908	chemical-affects	MTHFD2
CHEBI:16908	chemical-affects	NDUFA10
CHEBI:16908	chemical-affects	NDUFA11
CHEBI:16908	chemical-affects	NDUFA12
CHEBI:16908	chemical-affects	NDUFA13
CHEBI:16908	chemical-affects	NDUFA1
CHEBI:16908	chemical-affects	NDUFA2
CHEBI:16908	chemical-affects	NDUFA3
CHEBI:16908	chemical-affects	NDUFA4L2
CHEBI:16908	chemical-affects	NDUFA4
CHEBI:16908	chemical-affects	NDUFA5
CHEBI:16908	chemical-affects	NDUFA6
CHEBI:16908	chemical-affects	NDUFA7
CHEBI:16908	chemical-affects	NDUFA8
CHEBI:16908	chemical-affects	NDUFA9
CHEBI:16908	chemical-affects	NDUFAB1
CHEBI:16908	chemical-affects	NDUFB10
CHEBI:16908	chemical-affects	NDUFB1
CHEBI:16908	chemical-affects	NDUFB2
CHEBI:16908	chemical-affects	NDUFB3
CHEBI:16908	chemical-affects	NDUFB4
CHEBI:16908	chemical-affects	NDUFB5
CHEBI:16908	chemical-affects	NDUFB6
CHEBI:16908	chemical-affects	NDUFB7
CHEBI:16908	chemical-affects	NDUFB8
CHEBI:16908	chemical-affects	NDUFB9
CHEBI:16908	chemical-affects	NDUFC1
CHEBI:16908	chemical-affects	NDUFC2
CHEBI:16908	chemical-affects	NDUFS1
CHEBI:16908	chemical-affects	NDUFS2
CHEBI:16908	chemical-affects	NDUFS3
CHEBI:16908	chemical-affects	NDUFS4
CHEBI:16908	chemical-affects	NDUFS5
CHEBI:16908	chemical-affects	NDUFS6
CHEBI:16908	chemical-affects	NDUFS7
CHEBI:16908	chemical-affects	NDUFS8
CHEBI:16908	chemical-affects	NDUFV1
CHEBI:16908	chemical-affects	NDUFV2
CHEBI:16908	chemical-affects	NDUFV3
CHEBI:16908	chemical-affects	NNT
CHEBI:16908	chemical-affects	NQO2
CHEBI:16908	chemical-affects	NSDHL
CHEBI:16908	chemical-affects	OGDH
CHEBI:16908	chemical-affects	PDHA1
CHEBI:16908	chemical-affects	PDHA2
CHEBI:16908	chemical-affects	PDHB
CHEBI:16908	chemical-affects	PHGDH
CHEBI:16908	chemical-affects	PYCR1
CHEBI:16908	chemical-affects	PYCR2
CHEBI:16908	chemical-affects	QDPR
CHEBI:16908	chemical-affects	RDH5
CHEBI:16908	chemical-affects	SORD
CHEBI:16908	chemical-affects	TSTA3
CHEBI:16908	chemical-affects	TYR
CHEBI:16908	chemical-affects	UGDH
CHEBI:16914	chemical-affects	AKR1C1
CHEBI:16914	chemical-affects	PTGS1
CHEBI:16914	chemical-affects	PTGS2
CHEBI:16919	chemical-affects	CKB
CHEBI:16919	chemical-affects	CKMT1A
CHEBI:16919	chemical-affects	CKMT1B
CHEBI:16919	chemical-affects	CKMT2
CHEBI:16919	chemical-affects	CKM
CHEBI:16919	chemical-affects	GAMT
CHEBI:16919	chemical-affects	SLC6A8
CHEBI:16927	chemical-affects	AASS
CHEBI:16977	chemical-affects	AARS2
CHEBI:16977	chemical-affects	AARS
CHEBI:16977	chemical-affects	ABAT
CHEBI:16977	chemical-affects	AGXT2
CHEBI:16977	chemical-affects	AGXT
CHEBI:16977	chemical-affects	GPT2
CHEBI:16977	chemical-affects	GPT
CHEBI:16977	chemical-affects	KYNU
CHEBI:16977	chemical-affects	NFS1
CHEBI:16977	chemical-affects	PHYKPL
CHEBI:16977	chemical-affects	SLC1A4
CHEBI:16977	chemical-affects	SLC36A1
CHEBI:16977	chemical-affects	SLC7A8
CHEBI:16978	chemical-affects	ABCC1
CHEBI:16978	chemical-affects	CYSLTR1
CHEBI:16978	chemical-affects	CYSLTR2
CHEBI:16982	chemical-affects	UBE2D2
CHEBI:16985	chemical-affects	IGHG1
CHEBI:16985	chemical-affects	IGHG2
CHEBI:16985	chemical-affects	IGKC
CHEBI:16985	chemical-affects	IGKV2-30
CHEBI:16995	chemical-affects	SRC
CHEBI:16997	chemical-affects	F13A1
CHEBI:16998	chemical-affects	CRH
CHEBI:16998	chemical-affects	KYAT1
CHEBI:17013	chemical-affects	DTYMK
CHEBI:17013	chemical-affects	TYMS
CHEBI:17015	chemical-affects	BLVRB
CHEBI:17015	chemical-affects	RFK
CHEBI:17026	chemical-affects	AR
CHEBI:17026	chemical-affects	CYP17A1
CHEBI:17026	chemical-affects	ESR1
CHEBI:17026	chemical-affects	ESR2
CHEBI:17026	chemical-affects	NR3C1
CHEBI:17026	chemical-affects	NR3C2
CHEBI:17026	chemical-affects	OPRK1
CHEBI:17026	chemical-affects	ORM1
CHEBI:17026	chemical-affects	PGR
CHEBI:17026	chemical-affects	SHBG
CHEBI:17033	chemical-affects	BLVRB
CHEBI:17033	chemical-affects	HMOX1
CHEBI:17033	chemical-affects	MB
CHEBI:17044	chemical-affects	GPI
CHEBI:17050	chemical-affects	PGAM2
CHEBI:17050	chemical-affects	PGK1
CHEBI:17050	chemical-affects	TPI1
CHEBI:17053	chemical-affects	ACY1
CHEBI:17053	chemical-affects	ACY3
CHEBI:17053	chemical-affects	ADSSL1
CHEBI:17053	chemical-affects	ADSS
CHEBI:17053	chemical-affects	ASNS
CHEBI:17053	chemical-affects	ASPA
CHEBI:17053	chemical-affects	ASPH
CHEBI:17053	chemical-affects	ASRGL1
CHEBI:17053	chemical-affects	ASS1
CHEBI:17053	chemical-affects	CAD
CHEBI:17053	chemical-affects	DARS2
CHEBI:17053	chemical-affects	DARS
CHEBI:17053	chemical-affects	GOT1
CHEBI:17053	chemical-affects	GOT2
CHEBI:17053	chemical-affects	LYZ
CHEBI:17053	chemical-affects	PAICS
CHEBI:17053	chemical-affects	RNASE1
CHEBI:17053	chemical-affects	SLC1A1
CHEBI:17053	chemical-affects	SLC25A12
CHEBI:17053	chemical-affects	SLC25A13
CHEBI:17076	chemical-affects	PADI4
CHEBI:17111	chemical-affects	APRT
CHEBI:17111	chemical-affects	HPRT1
CHEBI:17111	chemical-affects	UCKL1
CHEBI:17115	chemical-affects	AGXT
CHEBI:17115	chemical-affects	CBS
CHEBI:17115	chemical-affects	SARS
CHEBI:17115	chemical-affects	SDS
CHEBI:17115	chemical-affects	SPTLC1
CHEBI:17115	chemical-affects	SPTLC2
CHEBI:17115	chemical-affects	SRR
CHEBI:17126	chemical-affects	CRAT
CHEBI:17126	chemical-affects	CROT
CHEBI:17141	chemical-affects	NPY2R
CHEBI:17141	chemical-affects	SST
CHEBI:17148	chemical-affects	ADRB1
CHEBI:17148	chemical-affects	ADRB2
CHEBI:17148	chemical-affects	AMD1
CHEBI:17148	chemical-affects	ODC1
CHEBI:17150	chemical-affects	ENO2
CHEBI:17150	chemical-affects	ENO3
CHEBI:17150	chemical-affects	PKLR
CHEBI:17150	chemical-affects	PKM
CHEBI:17150	chemical-affects	TPI1
CHEBI:17154	chemical-affects	BST1
CHEBI:17154	chemical-affects	LDHA
CHEBI:17154	chemical-affects	PARP1
CHEBI:17154	chemical-affects	SIRT5
CHEBI:171741	chemical-affects	FASN
CHEBI:17191	chemical-affects	ACADSB
CHEBI:17191	chemical-affects	BCAT1
CHEBI:17191	chemical-affects	BCAT2
CHEBI:17191	chemical-affects	IARS2
CHEBI:17191	chemical-affects	IARS
CHEBI:17196	chemical-affects	ASNS
CHEBI:17196	chemical-affects	ASRGL1
CHEBI:17196	chemical-affects	NARS2
CHEBI:17196	chemical-affects	NARS
CHEBI:17196	chemical-affects	SLC1A5
CHEBI:17196	chemical-affects	SLC38A3
CHEBI:17200	chemical-affects	B3GAT3
CHEBI:17200	chemical-affects	GALE
CHEBI:17202	chemical-affects	ADSSL1
CHEBI:17202	chemical-affects	IMPDH2
CHEBI:17202	chemical-affects	PYGM
CHEBI:17203	chemical-affects	EPRS
CHEBI:17203	chemical-affects	L3HYPDH
CHEBI:17203	chemical-affects	P3H1
CHEBI:17203	chemical-affects	P3H2
CHEBI:17203	chemical-affects	P3H3
CHEBI:17203	chemical-affects	P4HA1
CHEBI:17203	chemical-affects	P4HA2
CHEBI:17203	chemical-affects	PARS2
CHEBI:17203	chemical-affects	PLPBP
CHEBI:17203	chemical-affects	PPIA
CHEBI:17203	chemical-affects	PPIB
CHEBI:17203	chemical-affects	PPIC
CHEBI:17203	chemical-affects	PPIF
CHEBI:17203	chemical-affects	PPIG
CHEBI:17203	chemical-affects	PPIH
CHEBI:17203	chemical-affects	PRODH
CHEBI:17203	chemical-affects	PYCR1
CHEBI:17203	chemical-affects	PYCR2
CHEBI:17203	chemical-affects	PYCR3
CHEBI:17203	chemical-affects	SLC6A14
CHEBI:17203	chemical-affects	SLC6A7
CHEBI:17211	chemical-affects	FDPS
CHEBI:17211	chemical-affects	GGPS1
CHEBI:17231	chemical-affects	INS
CHEBI:17241	chemical-affects	ADH1C
CHEBI:17241	chemical-affects	ESR1
CHEBI:17241	chemical-affects	ESR2
CHEBI:17245	chemical-affects	MB
CHEBI:17263	chemical-affects	AR
CHEBI:17263	chemical-affects	CYP19A1
CHEBI:17263	chemical-affects	ESR1
CHEBI:17263	chemical-affects	ESR2
CHEBI:17263	chemical-affects	SHBG
CHEBI:17268	chemical-affects	CDIPT
CHEBI:17268	chemical-affects	GBA
CHEBI:17285	chemical-affects	CDC25B
CHEBI:17285	chemical-affects	CTSL
CHEBI:17285	chemical-affects	GLIPR2
CHEBI:17285	chemical-affects	PTPN1
CHEBI:17287	chemical-affects	CKB
CHEBI:17287	chemical-affects	CKMT1A
CHEBI:17287	chemical-affects	CKMT1B
CHEBI:17287	chemical-affects	CKMT2
CHEBI:17287	chemical-affects	CKM
CHEBI:17287	chemical-affects	GAMT
CHEBI:17287	chemical-affects	SLC6A8
CHEBI:17289	chemical-affects	SLC9A1
CHEBI:17295	chemical-affects	FARS2
CHEBI:17295	chemical-affects	FARSA
CHEBI:17295	chemical-affects	FARSB
CHEBI:17295	chemical-affects	PAH
CHEBI:17295	chemical-affects	SLC7A8
CHEBI:17295	chemical-affects	TAT
CHEBI:17295	chemical-affects	TH
CHEBI:17296	chemical-affects	ALB
CHEBI:17296	chemical-affects	KLK1
CHEBI:17303	chemical-affects	LY96
CHEBI:17303	chemical-affects	OPRD1
CHEBI:17303	chemical-affects	OPRK1
CHEBI:17303	chemical-affects	OPRM1
CHEBI:17306	chemical-affects	AMY2B
CHEBI:17310	chemical-affects	PDXK
CHEBI:17311	chemical-affects	CALM1
CHEBI:17311	chemical-affects	CYCS
CHEBI:17336	chemical-affects	ALDH1A1
CHEBI:17336	chemical-affects	ALDH1A2
CHEBI:17336	chemical-affects	ALDH1A3
CHEBI:17336	chemical-affects	APOD
CHEBI:17336	chemical-affects	DHRS3
CHEBI:17336	chemical-affects	DHRS4
CHEBI:17336	chemical-affects	HPGDS
CHEBI:17336	chemical-affects	LRAT
CHEBI:17336	chemical-affects	RBP1
CHEBI:17336	chemical-affects	RBP3
CHEBI:17336	chemical-affects	RDH11
CHEBI:17336	chemical-affects	RDH12
CHEBI:17336	chemical-affects	RDH13
CHEBI:17336	chemical-affects	RDH14
CHEBI:17336	chemical-affects	RDH5
CHEBI:17336	chemical-affects	RDH8
CHEBI:17336	chemical-affects	RETSAT
CHEBI:17336	chemical-affects	RLBP1
CHEBI:17345	chemical-affects	ATIC
CHEBI:17345	chemical-affects	DLG4
CHEBI:17345	chemical-affects	GMPR
CHEBI:17345	chemical-affects	GUK1
CHEBI:17345	chemical-affects	HINT1
CHEBI:17345	chemical-affects	PDE5A
CHEBI:17345	chemical-affects	TGM3
CHEBI:17347	chemical-affects	AR
CHEBI:17347	chemical-affects	ESR1
CHEBI:17347	chemical-affects	NR3C2
CHEBI:17361	chemical-affects	CMPK1
CHEBI:17361	chemical-affects	UCK2
CHEBI:17368	chemical-affects	PNP
CHEBI:17381	chemical-affects	ALAD
CHEBI:17395	chemical-affects	MIF
CHEBI:17411	chemical-affects	B4GALT1
CHEBI:17411	chemical-affects	B4GALT2
CHEBI:17411	chemical-affects	B4GALT3
CHEBI:17411	chemical-affects	B4GALT4
CHEBI:17411	chemical-affects	NAGK
CHEBI:17411	chemical-affects	NAGLU
CHEBI:17411	chemical-affects	NAGPA
CHEBI:17411	chemical-affects	RENBP
CHEBI:17431	chemical-affects	ADRA2C
CHEBI:17431	chemical-affects	ASIC3
CHEBI:17431	chemical-affects	CACNA1B
CHEBI:17431	chemical-affects	CHRNA1
CHEBI:17431	chemical-affects	GRIN1
CHEBI:17431	chemical-affects	KCNJ1
CHEBI:17431	chemical-affects	NISCH
CHEBI:17439	chemical-affects	MMAA
CHEBI:17439	chemical-affects	MMACHC
CHEBI:17439	chemical-affects	MTHFR
CHEBI:17439	chemical-affects	MTRR
CHEBI:17439	chemical-affects	MTR
CHEBI:17440	chemical-affects	ACP1
CHEBI:17440	chemical-affects	DUSP23
CHEBI:17455	chemical-affects	LCN2
CHEBI:17456	chemical-affects	TK1
CHEBI:174690	chemical-affects	ADRB1
CHEBI:174690	chemical-affects	ADRB2
CHEBI:174690	chemical-affects	ADRB3
CHEBI:174690	chemical-affects	NGF
CHEBI:174690	chemical-affects	TNF
CHEBI:17474	chemical-affects	ESR1
CHEBI:17474	chemical-affects	ESR2
CHEBI:17486	chemical-affects	CHRM1
CHEBI:17486	chemical-affects	CHRM2
CHEBI:17486	chemical-affects	CHRM3
CHEBI:17486	chemical-affects	CHRM4
CHEBI:17489	chemical-affects	HCN2
CHEBI:17489	chemical-affects	PRKAR1A
CHEBI:17489	chemical-affects	PRKAR2B
CHEBI:17509	chemical-affects	MTAP
CHEBI:17515	chemical-affects	GSS
CHEBI:17549	chemical-affects	ALAD
CHEBI:17552	chemical-affects	ADSSL1
CHEBI:17552	chemical-affects	ARF1
CHEBI:17552	chemical-affects	ARF4
CHEBI:17552	chemical-affects	ARF6
CHEBI:17552	chemical-affects	ARL1
CHEBI:17552	chemical-affects	ARL3
CHEBI:17552	chemical-affects	ARL5A
CHEBI:17552	chemical-affects	ARL5B
CHEBI:17552	chemical-affects	CDC42
CHEBI:17552	chemical-affects	EEF1A1
CHEBI:17552	chemical-affects	EEF2
CHEBI:17552	chemical-affects	EFL1
CHEBI:17552	chemical-affects	EIF2S3
CHEBI:17552	chemical-affects	GMDS
CHEBI:17552	chemical-affects	GNAI1
CHEBI:17552	chemical-affects	GNAT1
CHEBI:17552	chemical-affects	GSPT1
CHEBI:17552	chemical-affects	HRAS
CHEBI:17552	chemical-affects	IRGC
CHEBI:17552	chemical-affects	NME1
CHEBI:17552	chemical-affects	NME2
CHEBI:17552	chemical-affects	RAB11A
CHEBI:17552	chemical-affects	RAB5A
CHEBI:17552	chemical-affects	RAB7A
CHEBI:17552	chemical-affects	RAB8B
CHEBI:17552	chemical-affects	RAB9A
CHEBI:17552	chemical-affects	RAC1
CHEBI:17552	chemical-affects	RALA
CHEBI:17552	chemical-affects	RAN
CHEBI:17552	chemical-affects	RAP2A
CHEBI:17552	chemical-affects	RHEB
CHEBI:17552	chemical-affects	RHOA
CHEBI:17552	chemical-affects	SAR1B
CHEBI:17552	chemical-affects	TGM2
CHEBI:17552	chemical-affects	TGM3
CHEBI:17552	chemical-affects	TUFM
CHEBI:17553	chemical-affects	PRKCB
CHEBI:17561	chemical-affects	CARS2
CHEBI:17561	chemical-affects	CARS
CHEBI:17561	chemical-affects	CBS
CHEBI:17561	chemical-affects	CDO1
CHEBI:17561	chemical-affects	CSAD
CHEBI:17561	chemical-affects	CTH
CHEBI:17561	chemical-affects	GCLC
CHEBI:17561	chemical-affects	GCLM
CHEBI:17561	chemical-affects	GOT1
CHEBI:17561	chemical-affects	GSS
CHEBI:17561	chemical-affects	MGMT
CHEBI:17561	chemical-affects	NFS1
CHEBI:17561	chemical-affects	SLC19A3
CHEBI:17562	chemical-affects	UCK2
CHEBI:17568	chemical-affects	DPYD
CHEBI:17568	chemical-affects	UCKL1
CHEBI:175901	chemical-affects	CMPK1
CHEBI:175901	chemical-affects	RRM1
CHEBI:175901	chemical-affects	TYMS
CHEBI:17594	chemical-affects	TYR
CHEBI:17596	chemical-affects	PNP
CHEBI:17600	chemical-affects	DBI
CHEBI:17600	chemical-affects	RHO
CHEBI:17606	chemical-affects	MT-ND5
CHEBI:17609	chemical-affects	ANXA1
CHEBI:17609	chemical-affects	HSD11B2
CHEBI:17609	chemical-affects	HSD3B1
CHEBI:17609	chemical-affects	NR3C1
CHEBI:17621	chemical-affects	BLVRB
CHEBI:17621	chemical-affects	DHODH
CHEBI:17621	chemical-affects	DPYD
CHEBI:17621	chemical-affects	HAO1
CHEBI:17621	chemical-affects	HAO2
CHEBI:17621	chemical-affects	NOS1
CHEBI:17621	chemical-affects	PNPO
CHEBI:17621	chemical-affects	POR
CHEBI:17621	chemical-affects	PPCDC
CHEBI:17621	chemical-affects	RFK
CHEBI:17621	chemical-affects	RPS6KA4
CHEBI:17621	chemical-affects	SGK1
CHEBI:17622	chemical-affects	TYMS
CHEBI:17649	chemical-affects	ME2
CHEBI:17649	chemical-affects	ME3
CHEBI:17650	chemical-affects	ANXA1
CHEBI:17650	chemical-affects	HSD11B2
CHEBI:17650	chemical-affects	HSD3B1
CHEBI:17650	chemical-affects	NR3C1
CHEBI:17659	chemical-affects	ABO
CHEBI:17659	chemical-affects	B3GAT1
CHEBI:17659	chemical-affects	B3GAT3
CHEBI:17659	chemical-affects	CMPK1
CHEBI:17659	chemical-affects	EXTL2
CHEBI:17659	chemical-affects	GLT6D1
CHEBI:17659	chemical-affects	GYG1
CHEBI:17660	chemical-affects	CDK2
CHEBI:17661	chemical-affects	GMDS
CHEBI:17665	chemical-affects	AKR1B1
CHEBI:17665	chemical-affects	GPI
CHEBI:17665	chemical-affects	HK1
CHEBI:17665	chemical-affects	PYGM
CHEBI:17677	chemical-affects	UCK2
CHEBI:17688	chemical-affects	CHAT
CHEBI:17688	chemical-affects	CHRNA10
CHEBI:17688	chemical-affects	CHRNA2
CHEBI:17688	chemical-affects	CHRNA3
CHEBI:17688	chemical-affects	CHRNA4
CHEBI:17688	chemical-affects	CHRNA5
CHEBI:17688	chemical-affects	CHRNA6
CHEBI:17688	chemical-affects	CHRNA7
CHEBI:17688	chemical-affects	CHRNA9
CHEBI:17688	chemical-affects	CHRNB2
CHEBI:17688	chemical-affects	CHRNB3
CHEBI:17688	chemical-affects	CHRNB4
CHEBI:17688	chemical-affects	CYP19A1
CHEBI:17697	chemical-affects	SPR
CHEBI:17698	chemical-affects	CD55
CHEBI:17700	chemical-affects	ACOT13
CHEBI:17709	chemical-affects	PAPSS1
CHEBI:17733	chemical-affects	GPI
CHEBI:17741	chemical-affects	CELA1
CHEBI:17741	chemical-affects	REN
CHEBI:17748	chemical-affects	TK2
CHEBI:17750	chemical-affects	BCL2
CHEBI:17754	chemical-affects	ADH1B
CHEBI:17754	chemical-affects	ARF1
CHEBI:17754	chemical-affects	GSTP1
CHEBI:17754	chemical-affects	HPGDS
CHEBI:17754	chemical-affects	ISYNA1
CHEBI:17754	chemical-affects	ITPR1
CHEBI:17754	chemical-affects	NAGA
CHEBI:17754	chemical-affects	PAEP
CHEBI:17754	chemical-affects	PAPSS1
CHEBI:17754	chemical-affects	PLA2G2E
CHEBI:17754	chemical-affects	PPARD
CHEBI:17754	chemical-affects	TGFBR2
CHEBI:17754	chemical-affects	TRDMT1
CHEBI:17775	chemical-affects	PYGL
CHEBI:17781	chemical-affects	BLVRB
CHEBI:17816	chemical-affects	INPP5B
CHEBI:17823	chemical-affects	HOXA10
CHEBI:17823	chemical-affects	VDR
CHEBI:17824	chemical-affects	ACP5
CHEBI:17824	chemical-affects	ADI1
CHEBI:17824	chemical-affects	AHCY
CHEBI:17824	chemical-affects	CHIT1
CHEBI:17824	chemical-affects	DCXR
CHEBI:17824	chemical-affects	DDX39B
CHEBI:17824	chemical-affects	GCH1
CHEBI:17824	chemical-affects	GDF5
CHEBI:17824	chemical-affects	GM2A
CHEBI:17824	chemical-affects	IGKV4-1
CHEBI:17824	chemical-affects	PLA2G2A
CHEBI:17824	chemical-affects	PRDX6
CHEBI:17824	chemical-affects	PRSS2
CHEBI:17824	chemical-affects	RNASE1
CHEBI:17824	chemical-affects	RNGTT
CHEBI:17824	chemical-affects	TNF
CHEBI:17825	chemical-affects	DCPS
CHEBI:17833	chemical-affects	DHFR
CHEBI:17833	chemical-affects	HECTD2
CHEBI:17833	chemical-affects	LRP2
CHEBI:17846	chemical-affects	AKR1C1
CHEBI:17846	chemical-affects	CYP19A1
CHEBI:17846	chemical-affects	CYP1B1
CHEBI:17846	chemical-affects	ESR1
CHEBI:17846	chemical-affects	ESR2
CHEBI:17846	chemical-affects	KANSL3
CHEBI:17846	chemical-affects	SHBG
CHEBI:17858	chemical-affects	GSR
CHEBI:17858	chemical-affects	GSTM2
CHEBI:17895	chemical-affects	TAT
CHEBI:17895	chemical-affects	TH
CHEBI:17895	chemical-affects	YARS2
CHEBI:17895	chemical-affects	YARS
CHEBI:17929	chemical-affects	NOS2
CHEBI:17929	chemical-affects	NOS3
CHEBI:17933	chemical-affects	VDR
CHEBI:17939	chemical-affects	RPL10L
CHEBI:17939	chemical-affects	RPL11
CHEBI:17939	chemical-affects	RPL13A
CHEBI:17939	chemical-affects	RPL15
CHEBI:17939	chemical-affects	RPL19
CHEBI:17939	chemical-affects	RPL23A
CHEBI:17939	chemical-affects	RPL23
CHEBI:17939	chemical-affects	RPL26L1
CHEBI:17939	chemical-affects	RPL37
CHEBI:17939	chemical-affects	RPL3
CHEBI:17939	chemical-affects	RPL8
CHEBI:17939	chemical-affects	RSL24D1
CHEBI:17941	chemical-affects	ACHE
CHEBI:17941	chemical-affects	BCHE
CHEBI:17941	chemical-affects	TF
CHEBI:17945	chemical-affects	ADH1C
CHEBI:17945	chemical-affects	ADH4
CHEBI:17980	chemical-affects	SULT1E1
CHEBI:17981	chemical-affects	PTGS1
CHEBI:17985	chemical-affects	HS3ST1
CHEBI:17985	chemical-affects	HS3ST3A1
CHEBI:17985	chemical-affects	NDST1
CHEBI:17985	chemical-affects	RNASE1
CHEBI:17985	chemical-affects	RNASE2
CHEBI:17985	chemical-affects	SULT1A1
CHEBI:17985	chemical-affects	SULT1B1
CHEBI:17985	chemical-affects	SULT1E1
CHEBI:17985	chemical-affects	SULT2A1
CHEBI:17985	chemical-affects	SULT2B1
CHEBI:17992	chemical-affects	ACTA1
CHEBI:17992	chemical-affects	ATOX1
CHEBI:17992	chemical-affects	LYZ
CHEBI:17992	chemical-affects	RTCB
CHEBI:17992	chemical-affects	TAS1R2
CHEBI:18019	chemical-affects	KARS
CHEBI:18019	chemical-affects	SLC7A1
CHEBI:18019	chemical-affects	SLC7A2
CHEBI:18019	chemical-affects	SLC7A3
CHEBI:18019	chemical-affects	SLC7A4
CHEBI:18026	chemical-affects	LCN2
CHEBI:18047	chemical-affects	DLAT
CHEBI:18047	chemical-affects	GCSH
CHEBI:18047	chemical-affects	PDK3
CHEBI:18050	chemical-affects	CTPS1
CHEBI:18050	chemical-affects	GLUL
CHEBI:18050	chemical-affects	PPAT
CHEBI:18058	chemical-affects	LDHA
CHEBI:18058	chemical-affects	LDHB
CHEBI:18067	chemical-affects	BGLAP
CHEBI:18067	chemical-affects	GGCX
CHEBI:18075	chemical-affects	NME1
CHEBI:18077	chemical-affects	TK1
CHEBI:18077	chemical-affects	TK2
CHEBI:18099	chemical-affects	ADH1B
CHEBI:18132	chemical-affects	CRP
CHEBI:18132	chemical-affects	ELSPBP1
CHEBI:18145	chemical-affects	ALOX5
CHEBI:18145	chemical-affects	DGKA
CHEBI:18145	chemical-affects	NR1I2
CHEBI:18145	chemical-affects	PPP2CA
CHEBI:18145	chemical-affects	PPP2CB
CHEBI:18145	chemical-affects	PRKCA
CHEBI:18145	chemical-affects	PRKCB
CHEBI:18145	chemical-affects	SEC14L2
CHEBI:18145	chemical-affects	SEC14L3
CHEBI:18145	chemical-affects	SEC14L4
CHEBI:18148	chemical-affects	PGM1
CHEBI:18152	chemical-affects	JAK1
CHEBI:18152	chemical-affects	PIK3CG
CHEBI:18183	chemical-affects	ADAM28
CHEBI:18183	chemical-affects	AMY1A
CHEBI:18183	chemical-affects	AMY1B
CHEBI:18183	chemical-affects	AMY1C
CHEBI:18183	chemical-affects	AMY2A
CHEBI:18183	chemical-affects	AMY2B
CHEBI:18183	chemical-affects	ANG
CHEBI:18183	chemical-affects	CCL8
CHEBI:18183	chemical-affects	HCRT
CHEBI:18183	chemical-affects	IGLC1
CHEBI:18183	chemical-affects	IGLV2-8
CHEBI:18183	chemical-affects	KRTAP5-2
CHEBI:18183	chemical-affects	TFF2
CHEBI:18183	chemical-affects	VEGFA
CHEBI:18208	chemical-affects	SLC15A1
CHEBI:18208	chemical-affects	SLC15A2
CHEBI:18208	chemical-affects	SLC22A8
CHEBI:18220	chemical-affects	PPARA
CHEBI:18220	chemical-affects	PPARG
CHEBI:18225	chemical-affects	EEA1
CHEBI:18243	chemical-affects	DBH
CHEBI:18243	chemical-affects	DRD1
CHEBI:18243	chemical-affects	DRD2
CHEBI:18243	chemical-affects	DRD3
CHEBI:18243	chemical-affects	DRD4
CHEBI:18243	chemical-affects	DRD5
CHEBI:18243	chemical-affects	HTR1A
CHEBI:18243	chemical-affects	HTR3A
CHEBI:18243	chemical-affects	HTR3B
CHEBI:18243	chemical-affects	HTR7
CHEBI:18243	chemical-affects	SLC18A2
CHEBI:18243	chemical-affects	SLC6A2
CHEBI:18243	chemical-affects	SLC6A3
CHEBI:18243	chemical-affects	SLC6A4
